State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
58,-0.1457774095474439,-0.125,3,5,171150,205856,143636,216756,143321,197861,217917,125714,175736,159426,117053,211090,174737,185612,266225,74813
59,-0.1457774095474439,-0.125,3,5,164380,202154,143636,216756,143321,197861,217917,125714,175736,159426,117053,211090,181507,189314,266225,74813
60,-0.1440051914257511,-0.125,3,5,164380,202154,178003,162098,143321,197861,217917,125714,141369,214084,117053,211090,181507,189314,266225,74813
61,-0.1440051914257511,-0.125,3,5,164380,202154,178003,162098,118640,216089,217917,125714,141369,214084,141734,192862,181507,189314,266225,74813
62,-0.14537517093346988,-0.125,3,5,164380,202154,119074,219473,177569,158714,217917,125714,141369,214084,141734,192862,181507,189314,266225,74813
63,-0.15233845598501275,-0.125,3,5,241425,80207,119074,219473,177569,158714,217917,125714,141369,214084,141734,192862,181507,189314,189180,196760
64,-0.15233845598501275,-0.125,3,5,210221,120450,119074,219473,177569,158714,249121,85471,141369,214084,141734,192862,181507,189314,189180,196760
65,-0.15233845598501275,-0.125,3,5,210221,120450,118570,218692,177569,158714,249121,85471,141873,214865,141734,192862,181507,189314,189180,196760
66,-0.15233845598501275,-0.125,3,5,210221,120450,118570,218692,177569,158714,249121,85471,190462,199850,141734,192862,181507,189314,140591,211775
67,-0.15233845598501275,-0.125,3,5,256591,72365,118570,218692,177569,158714,202751,133556,190462,199850,141734,192862,181507,189314,140591,211775
68,-0.1497445372156835,-0.125,3,5,256591,72365,180351,163161,115788,214245,202751,133556,190462,199850,141734,192862,181507,189314,140591,211775
69,-0.1497445372156835,-0.125,3,5,256591,72365,180351,163161,189899,199939,202751,133556,116351,214156,141734,192862,181507,189314,140591,211775
70,-0.1497445372156835,-0.125,3,5,257741,70831,180351,163161,189899,199939,201601,135090,116351,214156,141734,192862,181507,189314,140591,211775
71,-0.14983352488407384,-0.125,3,5,257741,70831,180351,163161,201550,134893,189950,200136,116351,214156,141734,192862,181507,189314,140591,211775
72,-0.14983352488407384,-0.125,3,5,257741,70831,180351,163161,201550,134893,189950,200136,141688,194819,116397,212199,181507,189314,140591,211775
73,-0.14983352488407384,-0.125,3,5,257741,70831,180351,163161,201550,134893,189950,200136,162247,192127,116397,212199,160948,192006,140591,211775
74,-0.15130074494878365,-0.125,3,5,257741,70831,142778,213677,201550,134893,189950,200136,162247,192127,116397,212199,160948,192006,178164,161259
75,-0.1509537648063101,-0.125,3,5,257741,70831,142778,213677,201550,134893,189950,200136,162247,192127,118469,209160,160948,192006,176092,164298
76,-0.1509537648063101,-0.125,3,5,257741,70831,142778,213677,201550,134893,189950,200136,160550,187216,120166,214071,160948,192006,176092,164298
77,-0.1509537648063101,-0.125,3,5,220653,124898,142778,213677,238638,80826,189950,200136,160550,187216,120166,214071,160948,192006,176092,164298
78,-0.2730929278844653,-0.25,2,6,220653,124898,142778,213677,238638,80826,189950,200136,160550,187216,166735,170314,160948,192006,129523,208055
79,-0.1331217842888683,-0.125,3,5,220653,124898,142778,213677,245717,114107,182871,166855,160550,187216,166735,170314,160948,192006,129523,208055
80,-0.010117144371368505,0.0,4,4,220653,124898,142778,213677,245717,114107,182871,166855,160550,187216,173827,168975,160948,192006,122431,209394
81,-0.010117144371368505,0.0,4,4,220653,124898,142778,213677,245717,114107,182871,166855,162129,189994,173827,168975,160948,192006,120852,206616
82,-0.013267594889380794,0.0,4,4,220653,124898,142778,213677,245717,114107,182871,166855,162129,189994,176702,157320,160948,192006,117977,218271
83,-0.013267594889380794,0.0,4,4,213310,107870,142778,213677,253060,131135,182871,166855,162129,189994,176702,157320,160948,192006,117977,218271
