map,efficiencygap,seatswon,meanmedian,district,presd,countd,voteshareD,voteshareR
9,0.13130399586924985,3,-0.0183346086099585,7,103888,125736,0.38519698547883097,0.614803014521169
9,0.13130399586924985,3,-0.0183346086099585,8,223803,216415,0.626434635613409,0.37356536438659105
10,0.13130399586924985,3,-0.01858001224385563,1,119592,127509,0.36361743871696306,0.6363825612830369
10,0.13130399586924985,3,-0.01858001224385563,2,141640,168429,0.48119959202214735,0.5188004079778527
10,0.13130399586924985,3,-0.01858001224385563,3,276333,265155,0.7542497752796204,0.2457502247203796
10,0.13130399586924985,3,-0.01858001224385563,4,198902,187159,0.5153794045402976,0.4846205954597024
10,0.13130399586924985,3,-0.01858001224385563,5,172727,181388,0.49037169605757247,0.5096283039424275
10,0.13130399586924985,3,-0.01858001224385563,6,130831,137984,0.4184757225608832,0.5815242774391168
10,0.13130399586924985,3,-0.01858001224385563,7,103888,125736,0.38519698547883097,0.614803014521169
10,0.13130399586924985,3,-0.01858001224385563,8,223803,216415,0.626434635613409,0.37356536438659105
11,0.13130399586924985,3,-0.01858001224385563,1,119592,127509,0.36361743871696306,0.6363825612830369
11,0.13130399586924985,3,-0.01858001224385563,2,141640,168429,0.48119959202214735,0.5188004079778527
11,0.13130399586924985,3,-0.01858001224385563,3,276333,265155,0.7542497752796204,0.2457502247203796
11,0.13130399586924985,3,-0.01858001224385563,4,198902,187159,0.5153794045402976,0.4846205954597024
11,0.13130399586924985,3,-0.01858001224385563,5,172727,181388,0.49037169605757247,0.5096283039424275
11,0.13130399586924985,3,-0.01858001224385563,6,130831,137984,0.4184757225608832,0.5815242774391168
11,0.13130399586924985,3,-0.01858001224385563,7,103888,125736,0.38519698547883097,0.614803014521169
11,0.13130399586924985,3,-0.01858001224385563,8,223803,216415,0.626434635613409,0.37356536438659105
12,0.13130399586924985,3,-0.01858001224385563,1,119592,127509,0.36361743871696306,0.6363825612830369
12,0.13130399586924985,3,-0.01858001224385563,2,141640,168429,0.48119959202214735,0.5188004079778527
12,0.13130399586924985,3,-0.01858001224385563,3,198902,187159,0.5153794045402976,0.4846205954597024
12,0.13130399586924985,3,-0.01858001224385563,4,276333,265155,0.7542497752796204,0.2457502247203796
12,0.13130399586924985,3,-0.01858001224385563,5,172727,181388,0.49037169605757247,0.5096283039424275
12,0.13130399586924985,3,-0.01858001224385563,6,130831,137984,0.4184757225608832,0.5815242774391168
