State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
3137,-0.12761495466473,-0.125,3,5,156462,198868,238543,128475,159732,188012,121225,207219,174211,176798,124869,209059,186066,155295,248667,113402
3138,-0.1276877953771624,-0.125,3,5,158897,196636,238543,128475,159732,188012,121225,207219,174211,176798,124869,209059,186066,155295,246232,115634
3139,-0.13035096664648896,-0.125,3,5,158897,196636,238543,128475,187392,146547,121225,207219,174211,176798,124869,209059,158406,196760,246232,115634
3140,-0.13610071825248313,-0.125,3,5,158897,196636,238543,128475,187392,146547,121225,207219,174211,176798,124869,209059,249755,96087,154883,216307
3141,-0.13610071825248313,-0.125,3,5,159736,193990,238543,128475,187392,146547,121225,207219,174211,176798,124030,211705,249755,96087,154883,216307
3142,-0.13447418155565516,-0.125,3,5,159736,193990,238543,128475,187392,146547,121225,207219,174211,176798,124030,211705,160872,205785,243766,106609
3143,-0.13447418155565516,-0.125,3,5,159736,193990,238543,128475,244369,104550,121225,207219,174211,176798,124030,211705,160872,205785,186789,148606
3144,-0.13447418155565516,-0.125,3,5,159736,193990,238543,128475,244369,104550,125167,208779,170269,175238,124030,211705,160872,205785,186789,148606
3145,-0.13516778301935878,-0.125,3,5,237726,127359,160553,195106,244369,104550,125167,208779,170269,175238,124030,211705,160872,205785,186789,148606
3146,-0.13516778301935878,-0.125,3,5,237726,127359,160553,195106,244369,104550,125536,209691,170269,175238,124030,211705,160503,204873,186789,148606
3147,-0.13243822981998296,-0.125,3,5,241317,131375,156962,191090,244369,104550,125536,209691,170269,175238,124030,211705,160503,204873,186789,148606
3148,-0.1321795197034127,-0.125,3,5,241317,131375,156962,191090,126166,208848,125536,209691,170269,175238,242233,107407,160503,204873,186789,148606
3149,-0.00908015097762642,0.0,4,4,241317,131375,156962,191090,126166,208848,176584,166482,119221,218447,242233,107407,160503,204873,186789,148606
3150,-0.00908015097762642,0.0,4,4,241317,131375,156962,191090,116681,221456,176584,166482,128706,205839,242233,107407,160503,204873,186789,148606
3151,-0.00908015097762642,0.0,4,4,241317,131375,130755,206698,116681,221456,176584,166482,154913,190231,242233,107407,160503,204873,186789,148606
3152,-0.009444354539788431,0.0,4,4,241317,131375,135294,203174,116681,221456,176584,166482,154913,190231,237694,110931,160503,204873,186789,148606
3153,-0.009444354539788431,0.0,4,4,191342,185871,135294,203174,116681,221456,176584,166482,154913,190231,237694,110931,160503,204873,236764,94110
3154,-0.009444354539788431,0.0,4,4,191342,185871,135294,203174,116681,221456,176584,166482,154913,190231,240771,109410,160503,204873,233687,95631
3155,-0.14479639226768926,-0.125,3,5,176871,191118,135294,203174,116681,221456,176584,166482,169384,184984,240771,109410,160503,204873,233687,95631
3156,-0.1443500186407636,-0.125,3,5,176871,191118,135294,203174,115911,220982,177354,166956,169384,184984,240771,109410,160503,204873,233687,95631
3157,-0.1448319155707967,-0.125,3,5,176871,191118,135294,203174,115911,220982,177354,166956,232790,95185,240771,109410,160503,204873,170281,185430
3158,-0.1448319155707967,-0.125,3,5,176871,191118,164219,198314,115911,220982,177354,166956,232790,95185,240771,109410,131578,209733,170281,185430
3159,-0.14478921584281906,-0.125,3,5,234697,93397,164219,198314,115911,220982,177354,166956,174964,192906,240771,109410,131578,209733,170281,185430
3160,-0.14727692352406954,-0.125,3,5,234697,93397,164219,198314,115911,220982,177354,166956,174964,192906,245965,97283,131578,209733,165087,197557
3161,-0.015277352674276786,0.0,4,4,218566,132732,164219,198314,115911,220982,177354,166956,191095,153571,245965,97283,131578,209733,165087,197557
3162,-0.14668056261735699,-0.125,3,5,232163,97593,164219,198314,115911,220982,177354,166956,177498,188710,245965,97283,131578,209733,165087,197557
3163,-0.14668056261735699,-0.125,3,5,232163,97593,164219,198314,115911,220982,177354,166956,177498,188710,245965,97283,133724,195360,162941,211930
3164,-0.1485385390162485,-0.125,3,5,232163,97593,164219,198314,117066,225005,176199,162933,177498,188710,245965,97283,133724,195360,162941,211930
3165,-0.1411335450139456,-0.125,3,5,232163,97593,163220,178676,117066,225005,176199,162933,177498,188710,246964,116921,133724,195360,162941,211930
3166,-0.1380362000399727,-0.125,3,5,232163,97593,163220,178676,114717,218722,178548,169216,177498,188710,246964,116921,133724,195360,162941,211930
3167,-0.14147263108906194,-0.125,3,5,232163,97593,163220,178676,175705,162482,117560,225456,177498,188710,246964,116921,133724,195360,162941,211930
3168,-0.0069609527134600665,0.0,4,4,232163,97593,163220,178676,175705,162482,117560,225456,177498,188710,193200,185674,133724,195360,216705,143177
3169,-0.003846743141042225,0.0,4,4,232163,97593,163220,178676,179142,167724,114123,220214,177498,188710,193200,185674,133724,195360,216705,143177
3170,-0.008489172389566483,0.0,4,4,232163,97593,157647,197187,179142,167724,114123,220214,177498,188710,193200,185674,133724,195360,222278,124666
3171,-0.008489172389566483,0.0,4,4,226235,113579,157647,197187,179142,167724,114123,220214,177498,188710,199128,169688,133724,195360,222278,124666
3172,-0.008489172389566483,0.0,4,4,226235,113579,171513,193356,179142,167724,114123,220214,163632,192541,199128,169688,133724,195360,222278,124666
3173,0.11931326637489716,0.125,5,3,186440,150874,171513,193356,179142,167724,114123,220214,203427,155246,199128,169688,133724,195360,222278,124666
3174,0.11892143357698493,0.125,5,3,186440,150874,171513,193356,178508,167266,114757,220672,203427,155246,199128,169688,133724,195360,222278,124666
3175,0.11520835134914993,0.125,5,3,186440,150874,171513,193356,175552,159874,117713,228064,203427,155246,199128,169688,133724,195360,222278,124666
3176,0.1142994571393407,0.125,5,3,186440,150874,171513,193356,175552,159874,117713,228064,134347,197270,199128,169688,202804,153336,222278,124666
3177,0.1142994571393407,0.125,5,3,183419,149667,171513,193356,178573,161081,117713,228064,134347,197270,199128,169688,202804,153336,222278,124666
